profile_name,user_reviews,rating_date,visit_date,summary,text,stars
Gold G,9 reviews,"Reviewed October 5, 2022",Date of visit: October 2022,Kind service,"The service was super kind, the starters we had were good (halloumi and nacho's), the main dishes were avarage. The entertainment makes it lively but not really our kind of entertainment. Overall a good experience!",3
738nikkid,13 reviews,"Reviewed October 4, 2022",Date of visit: September 2022,Great night,"Great food, family friendly atmosphere and amazing Fat mammas dancers1 those girls work so hard putting together at least 3 different routines a week,its so much fun ! We had burgers and ribs - massive portions great value for money .",5
kenevans67,7 reviews,"Reviewed October 4, 2022",Date of visit: September 2022,Great family night out,"Great food, service and entertainment. The family had a really fun night and even our little 8 month niece was transfixed by the dancers. The staff were fun especially the young female staff member who I couldn't help but make fun of and who gave...it back in truckloads (yes, you with the big round glasses!). A great diversion away from the All Inclusive for one night, would definitely recommend.
Top tip, the portions are massive, be aware!More",5
REW29,281 reviews,"Reviewed October 2, 2022",Date of visit: October 2022,Still the best show in town!,"It was so good to return to Fat Mama’s and we were not disappointed! The same fabulous food, great service and of course brilliant entertainment! The cabaret show did not disappoint and our 18 month old was in awe of everything! We loved our visit...and will be back next time we visit Paphos…thank you xMore",5
912gerj,3 reviews,"Reviewed October 2, 2022",Date of visit: September 2022,Ok,The cabaret show was great. Unfortunately the food wasn't. Had chilli con carne there was a hard skin on rice. Another of our party had chicken which they couldn't cut it was so tough.,2
smaste34,3 reviews,"Reviewed September 29, 2022",Date of visit: September 2022,Lovely Place to eat,"Great service here, nice food (huge portions!) and the dancers are fun.. 

Great place to start your evening and move onto somewhere else for drinks",5
Terry C,47 reviews,"Reviewed September 27, 2022",Date of visit: September 2022,Great night out,"Brilliant food and great entertainment.
We had the fillet steaks and it would be hard to find a better one anywhere in the world.
Friendly staff and great dancers throughout the night.",5
smokingbull,10 reviews,"Reviewed September 22, 2022",Date of visit: August 2022,Really Good Entertainment and Food,Food and the atmosphere both excellent. We enjoyed it so much came back twice. The food/drinks are reasonably priced. Looking forward to visiting again in the future.,5
YorkshireTeddy,28 reviews,"Reviewed September 22, 2022",Date of visit: September 2022,"Great food,",Ordered fillet steak for the wife and had small ribs myself. The portions were plentiful and neither of us could finish the plate. Staff were friendly and unfortunately we were too early for the main show that starts at 20:35. There is also a 10%...More,5
imogenl801,7 reviews,"Reviewed September 19, 2022",Date of visit: September 2022,Great food and absolutely huge portion sizes!!,"Brilliant dancers and entertainment, we loved that. The food was delicious and the portion sizes were absolutely huge. Overall a really great place!",5
Sophiesssss,4 reviews,"Reviewed September 18, 2022",Date of visit: September 2022,Fantastic,"We visited fat mamas after a friend recommended to my parents who recommended to my sister who then recommended to us! 

6 adults, 3 year old girl and 1 year old boy. Well… entertainment was fabulous my little girl loved the dancing and would like...More",5
adamhP7435QC,3 reviews,"Reviewed September 17, 2022",Date of visit: September 2022,Terrible responses,"We have been excited to come to fat mamas for our engagement meal, but, after some of the responses from the manager on here we have made the decision to go to the harbour to eat this evening. Very unprofessional responses and attitude towards paying...More",1
Carolblake,5 reviews,"Reviewed September 16, 2022",Date of visit: September 2022,Fat mama,"Food was great ,
Very big portions 
the down side was the service took ages to order then waited 45 minutes for starters we only got that because we said something it got forgotten in kitchen",4
TracyBeau,3 reviews,"Reviewed September 12, 2022",Date of visit: August 2022,Fabulous night out!,"Visited in August 2022, hadn't read any reviews but word of mouth from friends who live in Cyprus. Wow! Absolutely fantastic night... food was great (we all had Mexican except our 9-year-old daughter who had the ribs from the children's menu) So tasty and so...More",5
vicky michelle P,4 reviews,"Reviewed September 11, 2022",Date of visit: September 2022,Family meal,"Visited this restaurant from a recommendation, cabaret entertainment kept the children entertained.  Food was not very good the night we visited, we were a family of 8 and 3 of the burgers  that was ordered was not good at all.  We had quite a long...More",2
Georgios P,27 reviews,"Reviewed September 9, 2022",Date of visit: August 2022,Dine out in Paphos,Visited the restaurant with friends which were on holiday to the island. We had an enjoyable meal outdoors. Lots of menu selections and wines. We recommend.,4
RobSomerset,111 reviews,"Reviewed September 9, 2022",Date of visit: September 2022,Spot On - Great Venue,Visited here yesterday. What a great place with the emphasis on fun and food. Staff are all brilliant and fun to chat with. Great banter. The dancers were great and we had a visit from Fat Mama and Cowboy Willy. The food was excellent. Shrimp...More,5
Julie M,43 reviews,"Reviewed September 9, 2022",Date of visit: September 2022,Brilliant,"We went for the evening on 9th of September.  The food was lovely and huge portions, my partner had the ribs,  please don't order the regular size as its enormous! The small was a challenge. Really fun evening with dancers periodically through the night.
Go...More",5
SCOUSEPHILLIP,11 reviews,"Reviewed September 8, 2022",Date of visit: September 2022,Fat mama's is a must visit,"Just visited Fat Mama's tonight!  First time in five years!

Food was perfect in many ways friendly staff service with a smile and wonderful cabaret show to finish off.

Good luck Karen and Phil ( Liverpool )",5
strawb852019,49 reviews,"Reviewed September 7, 2022",Date of visit: September 2022,Fantastic,"Fab restaurant! 
Such an atmosphere, welcomed soon as you arrive. 
Staff so friendly, good variety of food and OMG portion sizes wow!! 
Loved the entertainment part of the whole restaurant experience. 
Every night it’s entertainment night… 

If you pay by cash you get 5% of...More",5
Bexsutton,65 reviews,"Reviewed September 4, 2022",Date of visit: September 2022,Good but not great,"I was excited to visit due to all the hype but was disappointed, although they were very accommodating for our large party it was a pain we couldn’t separate bills per family as all have different opinions on service charge/tips etc so was a pain...More",3
Sharon S,2 reviews,"Reviewed September 4, 2022",Date of visit: September 2022,"Great venue, great food","Absolutely great fun and stunning food. We felt welcome from the moment we arrived, and the service was so on point!

The best fillet steak I have ever had",5
RoxyAndOzzie,34 reviews,"Reviewed August 30, 2022",Date of visit: August 2022,Fun fun fun,"We loved spending time at Fat Mama's during our time in Paphos. We did not eat here but we spent a few nights drinking here. At stages throughout the night, they have a dance show where 3 woman come on for around 15 minutes, every...More",5
EJT75,131 reviews,"Reviewed August 26, 2022",Date of visit: August 2022,Excellent,"Came to Fat Mammas on the recommendation of friends years ago and now it’s always on our holiday to do list! Did not disappoint our party of 9 again this year. Excellent food, massive portions and the entertainment throughout the night kept everyone in the...More",5
abmfoster75,45 reviews,"Reviewed August 26, 2022",Date of visit: August 2022,Very disappointing.,"Booked a table, for a family birthday meal, which wasn't ready. Had to wait for the 'entertainment' to finish before being seated. Forty minutes or more after getting our drinks we were still waiting to have our food order taken. Settled our drinks bill and...More",1
estelleo2022,1 review,"Reviewed August 26, 2022",Date of visit: August 2022,Fabulous Evening,"We had the best night at Fat Mama's as our last night in Cyprus
Great food, excellent service and outstanding entertainment!
Would recommend anyone visiting Paphos should book a table here as it's a great night out and we were lucky to meet Stavros Flatley...More",5
laurenhaddon,37 reviews,"Reviewed August 24, 2022",Date of visit: August 2022,Lovely place,"We came here as a family of three, the service was great all the staff very friendly  and very speedy. Portions are huge and the food tasted great. Great offers on drinks. We had not heard about this place so was very happily surprised by...More",4
nicolegQ9279DW,3 reviews,"Reviewed August 24, 2022",Date of visit: August 2022,Not worth the hype,Heard so many good things about this place.tje food was plentiful and nice but it certainly isn't worth the hype that surrounds this place there is much better entertainment at other local bars and of much higher quality. Can't say we would go back but...More,2
Geoff B,22 reviews,"Reviewed August 15, 2022",Date of visit: August 2022,Inexpensive but not value for money,"I’ll start with a summary. This is a fun restaurant, perfect for those with large appetites and no sense of taste.
This is a popular theme/gimmick restaurant in as much as every 20 minutes, 3 girls come out and dance for a couple of minutes....More",2
F2266IJclairer,1 review,"Reviewed August 14, 2022",Date of visit: August 2022,Great night as always,Visited many times in the past & it’s always a great experience. Food amazing though portions are huge so if ordering a starter beware. Staff are great and entertainment is fun. Prices obviously vary I ordered a pizza which was only about £10 but my...More,5
markwX7571FR,4 reviews,"Reviewed August 11, 2022",Date of visit: August 2022,If in Paphos well worth a visit.,Great food and excellent service. Pizzas are really good. Portions are large. One of my daughters only had the potato skins starter as her main and she didn’t finish it. We went early when the restaurant was quiet but plenty of friendly staff on hand.,5
markww86,15 reviews,"Reviewed August 11, 2022",Date of visit: August 2022,Disappointed,"Confused by the good reviews on here. We were really disappointed with all our food. The focus seems to be on quantity rather than quality. Massive portions of really poor quality tasteless food.
The only thing worse than the food was the service. We waited...More",1
smellyruby2014,23 reviews,"Reviewed August 9, 2022",Date of visit: July 2022,Cabaret eating......,"Food is of good standard, no issues with that.  Portions were massive! 
If you want a quiet meal you really need to avoid though as its full on here.  Every 20 mins or so, ladies come out and sing and dance to a theme.  They...More",4
532shanib,2 reviews,"Reviewed August 4, 2022",Date of visit: August 2022,WOW,"Amazing show, great food and flawless service!!!!
Great job you guys !!!!
Definitely recommend it to everybody that comes to Paphos",5
rastas72,7 reviews,"Reviewed August 2, 2022",Date of visit: August 2022,The best,"This place has to be the best restaurant in Cyprus  , the atmosphere was amazing , the food was amazing,  the service staff work so hard..the cabaret girls are awesome.. whoever visits paphos needs to experience this restaurant,  you won't find anywhere better ..thank you...More",5
amandarmurray,9 reviews,"Reviewed July 30, 2022",Date of visit: July 2022,Amazing,Great food as always. My daughter loved the girls dancing she now wants to work at fat mama’s! We celebrated our 5th wedding anniversary here and they brought out a glass of Prosecco for us which was a lovely surprise. My son enjoyed the entertainment...More,5
C4451POstephaniep,2 reviews,"Reviewed July 30, 2022",Date of visit: July 2022,Excellent,"We has a perfect evening! The food was absolutely delicious, the service is 5 stars and the show with the three girls was top notch! We will definitely visit soon!! Keep up the excellent job!",5
KaraW467,4 reviews,"Reviewed July 27, 2022",Date of visit: July 2022,What a place,This restaurants never disappoints. We came here first approx 17yrs ago. On our trip to Paphos this time it was the first stop on our list. The cheesy garlic bread is fantastic and was still as good as it was the first time we came....More,5
P5694PBrichardm,5 reviews,"Reviewed July 25, 2022",Date of visit: July 2022,Biggest portions I have ever seen,"From food to service to entertainment it was a night to remember.
Where to start the food portions are the biggest you will ever see 
.
Started with nachos and it would have served 3

Main course was fajitas and I 4 tortias. When I...More",5
nicoleKC6627MJ,3 reviews,"Reviewed July 24, 2022",Date of visit: July 2022,So much food! What a place!!,"We visited fat mammas for an evenings food and entertainment, and it did not disappoint. From the amazing front of house staff, a bubbly and talented lady from Essex uk, to the superbly efficient table staff and the entertainers, fat mammas delivered an evening that...More",5
rachelbT8383SX,3 reviews,"Reviewed July 21, 2022",Date of visit: July 2022,Brilliant,Food great  service great entertainment great price great  what more do you want! You will find this easily enough as it's the packed every night,5
caitrionaf2017,10 reviews,"Reviewed July 17, 2022",Date of visit: July 2022,Just fine,"Very suited to families and celebrations. A big menu of burgers, steak, pizza etc. We didn't book but got a table easily enough. Nice staff but nobody really checks on you once you've ordered. My husband had ribs, the small portion which were massive, and...More",3
josephbQ7045BN,2 reviews,"Reviewed July 10, 2022",Date of visit: July 2022,Fun but not autistic friendly,"The food was nice and it had a nice atmosphere however as an autistic person it was a nightmare, loud music and constant shouting and we had to wait an  extra hour to get the bill, as previously stated it was enjoyable but definitely  not...More",3
Killer-Darts-Champ,8 reviews,"Reviewed July 3, 2022",Date of visit: July 2022,Don’t bother booking!,"Booked a table for 8pm, arrived at 8pm and asked the people in the queue if they had made a reservation and they had not.  Went to the guy at the desk and advised we had booked in for 8pm and gave him my name,...More",1
ROGER B,47 reviews,"Reviewed June 29, 2022",Date of visit: June 2022,Fun Venue for good meal,We had an evening meal and the staff were great with dancing girls every few minutes . There was a good choice of food and great for families with the entertainment. 10% off for early eating by 7pm with good value drinks offers as well.,5
SurreyMerc,34 reviews,"Reviewed June 25, 2022",Date of visit: June 2022,Alright if you like that sort of thing.,After listening to people at our hotel saying about this place we thought we would give it a go. Arrived at about 6.30 pm & got a table. If you go later than about 7 you will struggle to get a table. Also before 7pm...More,3
Clare Louise N,15 reviews,"Reviewed June 18, 2022",Date of visit: June 2022,5 STAR  treatment! ❤️ AMAZING PLACE AND FOOD,"I Don’t really know where to start, this place is Absolutely amazing! The staff went above and beyond for us from start to finish………My husband and I arrived literally just after he was bitten/stung by an insect. He has anaphylactic shocks to Bee and wasps...More",5
James C,9 reviews,"Reviewed June 13, 2022",Date of visit: June 2022,Great entertainment all night,"Went to fat mamas for the first time yesterday. The staff were very friendly.For starters we got garlic  bread with cheese, potato skins and  bruschetta. Then for mains we  ordered two pizzas and a hunters chicken. The sizes very big and we had to take...More",4
CarterUSM62,63 reviews,"Reviewed June 12, 2022",Date of visit: June 2022,Just a great night out,"We visited recently with my wife's brother and his family. The food is fabulous (ribs, enchiladas, etc)., and arrives in very generous quantities. It does help if you're a carnivore, although they do have veggie options. Someone in my party let slip that it had...More",5
R3960BLmandyb,3 reviews,"Reviewed May 31, 2022",Date of visit: May 2022,Family meal,"Decided to head to Fat Mamma's for a meal one evening, rather than staying at the hotel.

We weren't disappointed. Staff were very friendly and polite. Food was good, although we only had starters as we weren't that hungry and cocktails very lovely. My sister...More",5
Jennifer B,16 reviews,"Reviewed May 26, 2022",Date of visit: May 2022,Absolutely amazing,"If your in Paphos, you have to visit Fat Mammas.  Omg the food is absolutely incredible   but you also get to watch a show while you eat. It's a family run business and so friendly, efficient and memorable.  Portions are huge. Variety of food incredible....More",5
harmoniousjade,17 reviews,"Reviewed May 18, 2022",Date of visit: May 2022,Great for kids!,"We had such a great time here as a group of 15+ and 6 young kids with us. The kids got glitter tattoos, the food was great for them and the atmosphere and entertainment was amazing! Our food and drinks were very good too! I’d...More",5
Greg1234577,1 review,"Reviewed May 13, 2022",Date of visit: May 2022,Amazing,What a brilliant night second visit this holiday and both times the food was amazing the staff outstanding position size Incredible (and I an no stranger to a big dinner) the dancers are fabulous and would not be out of place on a cruise ship...More,5
bron_cara,4 reviews,"Reviewed May 10, 2022",Date of visit: May 2022,Hidden gem,"Visited this place when walking down the street and Noticed the pretty aesthetic and cool atmosphere. The food was so good, and the frozen cocktails made it for me! Will definitely return. 10/10!",5
ellierj10,3 reviews,"Reviewed May 3, 2022",Date of visit: May 2022,Amazing!,"Amazing food, drinks and service!😍

We’ll most definitely be back! Thank you for a lovely evening!xx",5
Nick W,12 reviews,"Reviewed May 2, 2022",Date of visit: May 2022,Holiday evening meal,"Thought Fat Mamas was so good that we tried it for a 2nd time just to make sure.
Firstly the staff are very engaging and friendly. Very jolly from the the man on the door the waiters/waitresses and the cooks.
The food is all cooked...More",5
Escape556267,1 review,"Reviewed May 2, 2022",Date of visit: May 2022,Denise Perry,"What a great place. The staff could not do enough for us. The food is great but the portions are very big, would recommend sharing starter’s. Will definitely be back and will be telling all my friends where to come when staying in Paphos.",5
722kayleed,1 review,"Reviewed May 2, 2022",Date of visit: May 2022,Mrs Kaylee Davis,"Been here twice this week, both times were excellent!! Portions are large so definitely share a starter! The staff are amazing, helpful and very attentive!! The entertainment was great!! Nothing is too much trouble for them. We’re coming back tomorrow on our last night as...More",5
Littleppyjack,5 reviews,"Reviewed April 21, 2022",Date of visit: April 2022,Great for the grandchildren,Family of eight visited and had a great time. Food was excellent and good entertainment. Really good value for money.,5
Mark V,185 reviews,"Reviewed April 21, 2022",Date of visit: April 2022,Enjoyable Evening,"We had not planned to eat here but decided to on passing as the place was full.  The menu had a good range of options and we enjoyed the evening.
Points for improvement - better seasoning of burgers and we consider drinks here are over-priced...More",4
patriciaz773,14 reviews,"Reviewed February 19, 2022",Date of visit: September 2021,Wouldn’t recommend,I visited with 2 friends in September 2021. The restaurant was quiet. The service felt quite chaotic. It took a long time for our orders to be taken and a long time for the food and drink to come out. It was really difficult to...More,2
nadinekitchen,22 reviews,"Reviewed November 7, 2021",Date of visit: November 2021,Halloween fun,It’s been a few years since we visited fat mamas and the food and atmosphere did not disappoint. Fantastic Cabernet as always but extra special with it being Halloween. Compliments to the chef!,5
819vilmaa,2 reviews,"Reviewed November 3, 2021",Date of visit: November 2021,Fat mama’s review,It is a good restaurant very good service and a lot of food choices great to visit with family friends or you can go alone very very good food,5
pheobem415,1 review,"Reviewed November 1, 2021",Date of visit: November 2021,Holiday visit,"Best place iv been to in  Paphos staff are amazing made us feel very welcome would definitely recommend to
Anybody beautiful people and amazing atmosphere  !!!",5
Giselle B,73 reviews,"Reviewed October 31, 2021",Date of visit: October 2021,Always a treat,"Had a lovely meal as always great service and entertainment too, always try and visit once each holiday",4
E3618TNmatthewm,1 review,"Reviewed October 28, 2021",Date of visit: October 2021,Incredible!!,Came here as a last minute walk in and the staff were excellent from the get go. Super attentive to the kids which continued throughout the meal. The food was excellent there was a show throughout which the kids loved.  One of the best surprises...More,5
Katie P,39 reviews,"Reviewed October 27, 2021",Date of visit: October 2021,Great place to visit,Busy family run restaurant. Had to wait for a table but not for too long. Plenty of food. Attentive staff. Dancers very entertaining. Would definitely go back.,5
LordC,34 reviews,"Reviewed October 27, 2021",Date of visit: October 2021,Don’t waste your time unless you like terrible customer service,Booked a table and arrived to be told to wait in the queue with our two young children.. We waited and waited whilst they occasionally let people with no booking take tables ahead of us. People pushing in in front of us in the queue....More,1
1973Dannyd,23 reviews,"Reviewed October 25, 2021",Date of visit: October 2021,Great food,"Highly recommend fat mamas food great and loads of it, great friendly staff and good entertainment don’t miss this restaurant",5
TheMarritts,135 reviews,"Reviewed October 23, 2021",Date of visit: October 2021,WOW! What a great place and AMAZING value,Happened to drop in here on what was a quiet night for us. Ended up having a great time with live dancers and cabaret. We thought this was the highlight until we received the food which we are still raving about and wow talk about...More,5
189sarahe,39 reviews,"Reviewed October 22, 2021",Date of visit: October 2021,Family visit,"Booked a table for 6, seated quickly even with showing Covid safe passes, lovely service from very polite people, food plentiful and piping hot. 
Thoroughly enjoyed the evening, would recommend",5
karenbF6441SB,1 review,"Reviewed October 21, 2021",Date of visit: October 2021,Excellent,Visited Fat Mamas for the first time tonight. The food was excellent and the service from Andy & Samson was great.  Thanks for a wonderful evening,5
trifrzv,4 reviews,"Reviewed October 20, 2021",Date of visit: October 2021,The best food I’ve ever tried,"They have the best food I’ve ever eaten in my whole life, and Im not exagerating. Absolutely amazing food (you should try the meat platter or the nachos). The staff is also very friendly and they have cabaret shows almost every night.",5
YorkCal,26 reviews,"Reviewed October 19, 2021",Date of visit: October 2021,Excellent,"The food was great, we had mussels  and garlic bread as a starter and king prawns and sea bass for main course. The house wine was very nice and even though we were the last to leave they didn’t push us out. The  staff Andy,...More",5
GMYuusha,1 review,"Reviewed October 17, 2021",Date of visit: October 2021,Unexpected and fun gem,"We had a wonderful evening. Excellent and friendly service right from the greeting. Tasty food. Knowledgeable waiter. Good entertainment and vibes. Many happy diners around us. Families, children, elderly, couples - all looked after. They played happy birthday for three different tables, with a dance...More",5
MartyC633,58 reviews,"Reviewed October 17, 2021",Date of visit: October 2021,Brilliant.,"Absolutely brilliant. Food was awesome, service was the same and the price... you get a bit of bang for your buck. 

My wife and I both has the ""small"" ribs. Nothing small about them. It was a full rack. The large was 2 full racks....More",5
andyrew86,3 reviews,"Reviewed October 12, 2021",Date of visit: October 2021,Excellent,Went in a group of seven with ages from 9-50 and nobody was disappointed. The staff were really polite and chatty whilst being efficient at taking drink and food orders even know they were extremely busy. The shows were brilliant and really added to a...More,5
taylorn7,16 reviews,"Reviewed October 6, 2021",Date of visit: August 2021,Food & Entertainment,"Highly recommend please note we asked for small portions which we never normally do, the portions are huge! Gorgeous Filet steak at Fantastic prices and entertained by the Team which made for a fantastic atmosphere! Thank you definitely one of our favourites visited twice during...More",5
Elizavanzand,3 reviews,"Reviewed October 6, 2021",Date of visit: October 2021,Fantastische verjaardag,Super nice food. Very good and fast service! If you come before 19 you get a nice price for food and cocktails. I had a nice birthday💕😍🎉🎉,5
paulinem541,6 reviews,"Reviewed September 24, 2021",Date of visit: September 2021,Must Visit,"Fat Mamas is amazing, really good food, portions are very generous.  Excellent staff who are very attentive, even when really busy..  Such good atmosphere.  The dancers are really good.  Highly recommend.",5
KevA_12,145 reviews,"Reviewed September 23, 2021",Date of visit: September 2021,Ribs !!!! Wow,"Wow !!!! Those ribs !! This place is amazing , awesome ribs and massive portion sizes , entertainment is great , staff very friendly",5
Mick Y,4 reviews,"Reviewed September 21, 2021",Date of visit: September 2021,Great restaurant with cabaret,"Massive portions served here. Basic food but very tasty. Can recommend the chicken burgers. Proper chicken fillets, not the pre processed chicken served elsewhere. 
The staff put on a dancing show every night for diners.
Keenly priced meals.",4
samdsss,58 reviews,"Reviewed September 5, 2021",Date of visit: September 2021,A great night,"This place is great. Food was really good, we didn't wait long for service and prices were reasonable. Quite a few people were queing in front of us for a table welwyn we got there but we weren't waiting long. Portions were big! And just...More",5
philip p,15 reviews,"Reviewed September 5, 2021",Date of visit: September 2021,Fat mama's,"Friendly staff at the entrance, politely asked for our Cyprus flight certificates and sat us down to eat .We ordered two stakes well done one with Diane sauce.They were amazing it has to be said and what with the entertainment this was an excellent night...More",5
Stephen P,109 reviews,"Reviewed September 4, 2021",Date of visit: August 2021,Amazing food,"Visited on chance one evening and boy we were not sorry, the food was amazing and to top it off there was entertainment while you ate. If your a fan of spare ribs go for Fat Mamas Special it’s two full rack of ribs in...More",5
markwild01,9 reviews,"Reviewed September 2, 2021",Date of visit: August 2021,1st visit since 2019,"Nothing has changed, lovely food, great entertainment and great value for the family! Tried the ribs, burgers, enchiladas and steak over 4 visits, all first class!",5
Mrsamc87,19 reviews,"Reviewed September 2, 2021",Date of visit: September 2021,Such a let down,"Having visited several times before over the years last nights meal came as a huge disappointment to us. The nicest possible way I can describe it is-vile! 
Not sure if it’s changed ownership or chef but the steak was not cooked as I’d asked, and...More",1
kateliyx,6 reviews,"Reviewed August 30, 2021",Date of visit: August 2021,"Good american food, cringy entertainment","The food was just good. Very tasty and creative drinks. Nice service, we were seated quickly, got food fast, and had a nice conversation with the waiter. This is not a place for a romantic evening. Every night there are animations with costumes and loud...More",4
gerald1998,12 reviews,"Reviewed August 27, 2021",Date of visit: August 2021,Okay but won’t be back.,The staff were friendly enough however the food was extremely basic. Portion sizes were either too little or too large and there were issues with the temperature of the foods we received.  On top of this we were left waiting for 15 minutes to cutlery...More,3
Q4105RVcraigb,16 reviews,"Reviewed August 24, 2021",Date of visit: August 2021,10/10,"Can’t praise enough! Value for money, food, staff all excellent. 10/10. Made to feel so welcome it has to be a must to visit here if holidaying in the area! We visited twice on a ten day holiday",5
joannetW3125XA,2 reviews,"Reviewed August 21, 2021",Date of visit: August 2021,Cole group of 6 table 101 21st August 21,"Surpasses all expectations! food fabulous, large portions so fantastic value too. staff are really attentive especially Cathy who made us so welcome. Would definitely pay another visit especially for the entertainment 🙌",5
Wirral2,6 reviews,"Reviewed August 20, 2021",Date of visit: August 2021,Fabulous food and entertainment,"Such a welcoming, humble eatery. 
The staff could not be more friendly. 
Food was fresh and tasty reasonably priced especially as free entertainment is given.
The dancers work so hard to entertain and create a great atmosphere. The restaurant has a staff singer, possibly owner....More",5
Jagtazman,45 reviews,"Reviewed August 18, 2021",Date of visit: August 2021,Very good as usual,"This is a staple visit for us, service, atmosphere and food are always excellent. Tried lots over the years and never disappoints. Reduced fries size which is better as used to supply way to many
Prices very reasonable",5
870paul81,4 reviews,"Reviewed August 18, 2021",Date of visit: August 2021,An absolute gem…!,We went here for a family meal on recommendation from friends and it didn’t disappoint. Food was lovely with first class service and the staff were very playful with the kids. To top it all off the entertainment from the ‘Fat mamma’s dancers’ was brilliant....More,5
Theognosia P,9 reviews,"Reviewed August 17, 2021",Date of visit: August 2021,"Great food, good prices","Great food, tried enchiladas, pizzas and fajitas. Very good prices, excellent service, good environment.",5
Speedophile69,3 reviews,"Reviewed August 15, 2021",Date of visit: August 2021,Lovely Place!,Came here with family and 16 children the final bill was impeccable and the free entertainment on show was absolutely amazing. Loved every minute of my experience and will be coming back!,5
430vmh,5 reviews,"Reviewed August 15, 2021",Date of visit: August 2021,Great show,"We have tried fat mamas during our stay and I would like to say a huge thank you to all the staff it's amazing
Good food and the show is fantastic",5
Aristos32,100 reviews,"Reviewed August 11, 2021",Date of visit: August 2021,Good food expensive drinks,"The food was very good. The portions are big and good. Especially the burgers. Also the staff is very friendly. My only issue is the the drinks are very expensive.
There is a cabaret show by three girls. It is kind of out of place...More",3
hayleyandolive,2 reviews,"Reviewed August 9, 2021",Date of visit: August 2021,Great Food and Great Entertainment!,"This restaurant was recommended to us 5 times before we even left for Cyprus and it did not disappoint!   
We went back 3 times during our stay, the staff are so friendly and even remembered our names on each visit.  They were fantastic with our...More",5
aund322,8 reviews,"Reviewed August 7, 2021",Date of visit: August 2021,Amazing,"We went to fat mamas last night food was absolutely amazing and there not shy on there portion size there huge

Services was fantastic and the entertainment they have on is amazing.

Cant wait to visit again",5
GemmaNolan,4 reviews,"Reviewed November 20, 2020",Date of visit: October 2020,Fantastic friendly cabaret restaurant,"After having this restaurant recommended through our hotel Facebook page we thought we would give it a try. We were notndissapointed they were extremely friendly, fantastic with our children. Food was plentiful, lots of choice and absolutely delicious. Great value for money and to top...More",5
