,index,profile_name,user_reviews,summary,stars,rating_date,text,label,score
15,15,smaste34,3,Lovely Place to eat,5,29/09/2022,"Great service here, nice food (huge portions!) and the dancers are fun.. Great place to start your evening and move onto somewhere else for drinks",POSITIVE,0.9998461008071899
16,16,Terry C,47,Great night out,5,27/09/2022,Brilliant food and great entertainment. We had the fillet steaks and it would be hard to find a better one anywhere in the world. Friendly staff and great dancers throughout the night.,POSITIVE,0.9998020529747009
17,17,smokingbull,10,Really Good Entertainment and Food,5,22/09/2022,Food and the atmosphere both excellent. We enjoyed it so much came back twice. The food/drinks are reasonably priced. Looking forward to visiting again in the future.,POSITIVE,0.9998502731323242
18,18,YorkshireTeddy,28,"Great food,",5,22/09/2022,Ordered fillet steak for the wife and had small ribs myself. The portions were plentiful and neither of us could finish the plate. Staff were friendly and unfortunately we were too early for the main show that starts at 20:35. There is also a 10% discount if you pay in cash before 19:00,NEGATIVE,0.9977801442146301
19,19,imogenl801,7,Great food and absolutely huge portion sizes!!,5,19/09/2022,"Brilliant dancers and entertainment, we loved that. The food was delicious and the portion sizes were absolutely huge. Overall a really great place!",POSITIVE,0.9998856782913208
20,20,Sophiesssss,4,Fantastic,5,18/09/2022,"We visited fat mamas after a friend recommended to my parents who recommended to my sister who then recommended to us!    6 adults, 3 year old girl and 1 year old boy. Well… entertainment was fabulous my little girl loved the dancing and would like to apply in the future! And our son seemed pretty chuffed to find himself a blond babe to hold him haha. The dancing was so much fun and the singing even better! All in all just a wonderful atmosphere full of family celebrations and lots of laughs!    We really enjoyed the food, regulars to Cyprus (half Greek) it was actually really nice to not have the same Greek food and have something different whilst here! (Let’s be honest once you’ve had a meze there’s only so much more you can go for)    For the children we ordered the childrens pizza and some fries and that was plenty for them to share! I had the steak and halloumi fajitas and portion size is big so would suggest maybe sharing and ordering extra tortillas with these, they were honestly the best fajitas I have ever had. My mum had the ribs which were super meaty and super tasty which in my experience is rare in Cyprus and other Greek islands so she was really happy. My dad had a sea bass, partner enchiladas and the others got some burgers. All the food was really yummy and full of flavour it was honestly like TGI FRIDAYS had collaborated with TUI we adored the girls and could really see how much work they have put in to make a wonderful show suitable for all the family!    Drinks - there is a happy hour and would recommend getting there early to take advantage of this. We had various cocktails, beers and soft drinks for drivers and kids and got them241 during the happy hoursss    We had such a great time at fat mamas that we are looking to return for a second time this holiday. We have done lots of lovely things and the one request from the children and the family is that we return for an evening there before we leave for another year!    Basically after all my rambling is that if you want yummy food, great entertainment and fabulous service this is the place for you!",POSITIVE,0.999424934387207
21,21,adamhP7435QC,3,Terrible responses,1,17/09/2022,"We have been excited to come to fat mamas for our engagement meal, but, after some of the responses from the manager on here we have made the decision to go to the harbour to eat this evening. Very unprofessional responses and attitude towards paying customers. I hope this may have changed for our next visit.",NEGATIVE,0.9950388073921204
22,22,Carolblake,5,Fat mama,4,16/09/2022,"Food was great , Very big portions the down side was the service took ages to order then waited 45 minutes for starters we only got that because we said something it got forgotten in kitchen",NEGATIVE,0.987581729888916
23,23,TracyBeau,3,Fabulous night out!,5,12/09/2022,"Visited in August 2022, hadn't read any reviews but word of mouth from friends who live in Cyprus. Wow! Absolutely fantastic night... food was great (we all had Mexican except our 9-year-old daughter who had the ribs from the children's menu) So tasty and so much food! not one of us finished, but it was happily bagged up for us to take back to our holiday stay. Entertainment is brilliant, daughter was very happy to meet Fat Mama and even had her face painted on the sidewalk next to our table while we finished up. Staff were friendly and attentive, wanted to visit again before leaving but just didn't get chance. Definitely on our to do list when we visit again.",POSITIVE,0.999718964099884
24,24,vicky michelle P,4,Family meal,2,11/09/2022,"Visited this restaurant from a recommendation, cabaret entertainment kept the children entertained. Food was not very good the night we visited, we were a family of 8 and 3 of the burgers that was ordered was not good at all. We had quite a long wait from ordering to food arriving and staff too busy to take drinks orders.  It was quite expensive for what we had, maybe it was just an off night for the restaurant, but would not go back.",NEGATIVE,0.9991328120231628
25,25,Georgios P,27,Dine out in Paphos,4,09/09/2022,Visited the restaurant with friends which were on holiday to the island. We had an enjoyable meal outdoors. Lots of menu selections and wines. We recommend.,POSITIVE,0.9998738765716553
26,26,RobSomerset,111,Spot On - Great Venue,5,09/09/2022,Visited here yesterday. What a great place with the emphasis on fun and food. Staff are all brilliant and fun to chat with. Great banter. The dancers were great and we had a visit from Fat Mama and Cowboy Willy. The food was excellent. Shrimp cocktail was lush . The ribs are amazing but be warned they are big portions so go for the small size is my advice. Drinks are good quality although some brands are a bit expensive. Great Liqueur Coffee. All in all a fab evening. Thank you to all the staff for a great time.,POSITIVE,0.999843955039978
27,27,Julie M,43,Brilliant,5,09/09/2022,"We went for the evening on 9th of September. The food was lovely and huge portions, my partner had the ribs, please don't order the regular size as its enormous! The small was a challenge. Really fun evening with dancers periodically through the night.  Go early as queueing after 7.30ish.  I would highly recommend this place for a fun evening with fantastic food.",POSITIVE,0.9997830986976624
28,28,SCOUSEPHILLIP,11,Fat mama's is a must visit,5,08/09/2022,Just visited Fat Mama's tonight! First time in five years! Food was perfect in many ways friendly staff service with a smile and wonderful cabaret show to finish off. Good luck Karen and Phil ( Liverpool ),POSITIVE,0.9998816251754761
29,29,strawb852019,49,Fantastic,5,07/09/2022,"Fab restaurant!  Such an atmosphere, welcomed soon as you arrive.  Staff so friendly, good variety of food and OMG portion sizes wow!!  Loved the entertainment part of the whole restaurant experience.  Every night it’s entertainment night…    If you pay by cash you get 5% of your bill which is nice.  Definitely recommend this over and over to people.  First time at this restaurant, loved the feel even before entering today just a walk by when arrive at Paphos on Sunday",POSITIVE,0.9998199343681335
30,30,Bexsutton,65,Good but not great,3,04/09/2022,"I was excited to visit due to all the hype but was disappointed, although they were very accommodating for our large party it was a pain we couldn’t separate bills per family as all have different opinions on service charge/tips etc so was a pain working it out, food was bland, portions too big, my brother paid €40 for a steak and only ate half as he said it was like an old boot, we were charged for 7 bottles of water at €2.40 each but only had 4, the entertainment stayed solely at the entrance although the videos online lead us to believe it was a bit of a noisy wild night dancing around everyone etc but it was not, to be honest I was quite bored, good night but not by any means great",NEGATIVE,0.9989675283432007
31,31,Sharon S,2,"Great venue, great food",5,04/09/2022,"Absolutely great fun and stunning food. We felt welcome from the moment we arrived, and the service was so on point! The best fillet steak I have ever had",POSITIVE,0.9998652935028076
32,32,RoxyAndOzzie,34,Fun fun fun,5,30/08/2022,"We loved spending time at Fat Mama's during our time in Paphos. We did not eat here but we spent a few nights drinking here. At stages throughout the night, they have a dance show where 3 woman come on for around 15 minutes, every night we were there it was different and they really entertained the crowd, perfect fot the children to watch on the 'front row' whilst the parents could continue eating/drinking, the girls even posed for photos at the end. We felt some staff members worked considerably harder than others, one female in particular was cleaning tables, seating people down, taking orders, taking payments when 2 gentleman seemed to just be walking around, so hats of to her!!!",POSITIVE,0.9904965162277222
33,33,EJT75,131,Excellent,5,26/08/2022,"Came to Fat Mammas on the recommendation of friends years ago and now it’s always on our holiday to do list! Did not disappoint our party of 9 again this year. Excellent food, massive portions and the entertainment throughout the night kept everyone in the party mood - we will definitely be back",POSITIVE,0.9997257590293884
34,34,abmfoster75,45,Very disappointing.,1,26/08/2022,"Booked a table, for a family birthday meal, which wasn't ready. Had to wait for the 'entertainment' to finish before being seated. Forty minutes or more after getting our drinks we were still waiting to have our food order taken. Settled our drinks bill and left, but staff still seemed more bothered about making sure the 'entertainment' was sorted than making sure we had paid.",NEGATIVE,0.9994301199913025
35,35,estelleo2022,1,Fabulous Evening,5,26/08/2022,"We had the best night at Fat Mama's as our last night in Cyprus  Great food, excellent service and outstanding entertainment!  Would recommend anyone visiting Paphos should book a table here as it's a great night out and we were lucky to meet Stavros Flatley too!",POSITIVE,0.9998006224632263
36,36,laurenhaddon,37,Lovely place,4,24/08/2022,"We came here as a family of three, the service was great all the staff very friendly and very speedy. Portions are huge and the food tasted great. Great offers on drinks. We had not heard about this place so was very happily surprised by the dancing and appearance of Fat mama herself. We will be back again",POSITIVE,0.9998149275779724
37,37,nicolegQ9279DW,3,Not worth the hype,2,24/08/2022,"Heard so many good things about this place.tje food was plentiful and nice but it certainly isn't worth the hype that surrounds this place there is much better entertainment at other local bars and of much higher quality. Can't say we would go back but it wouldn't be too of a list of things to do, very impersonal and felt like a conveyor belt for tables",NEGATIVE,0.9897451996803284
38,38,Geoff B,22,Inexpensive but not value for money,2,15/08/2022,"I’ll start with a summary. This is a fun restaurant, perfect for those with large appetites and no sense of taste.  This is a popular theme/gimmick restaurant in as much as every 20 minutes, 3 girls come out and dance for a couple of minutes. They even dressed as characters in large costumes at one point but the costumes were threadbare and it seemed quite awkward. The food was bland at best. I ordered the beef fajitas and there could not have been any seasoning added whatsoever - not even salt and pepper. I cannot remember a time where I was so disappointed in my food. I was given about 1 teaspoon of guacamole to cover 4 wraps. My wife and daughter had chicken salads and they were ok. The worst part were the drinks; we were happy to have arrived just in time for the 2 for 1 cocktail offer. I ordered mojitos and my wife ordered Margaritas. Neither appeared to contain more than a dribble of alcohol. - we certainly couldn’t taste it. The kids had Fanta but they said they didn’t taste like Fanta. Portion sizes are large but bulked up by cheap ingredients. Service was fine and atmosphere was fun, although the entertainers did ask the table behind us if their young child could pretend it was his birthday so they could perform their cheesy happy birthday routine - the poor lad didn’t look happy",NEGATIVE,0.8267494440078735
39,39,F2266IJclairer,1,Great night as always,5,14/08/2022,Visited many times in the past & it’s always a great experience. Food amazing though portions are huge so if ordering a starter beware. Staff are great and entertainment is fun. Prices obviously vary I ordered a pizza which was only about £10 but my friend has to have the rattlesnake steak when he visits which was £30. Also can’t order wine by the glass so a bottle set us back £24 which would be fine if you can share. We went quite late about 9.30 and had to wait about 15 mins if you go peak time then expect a longer wait but if you’re in no rush then it’s worth it,POSITIVE,0.9961121678352356
40,40,markwX7571FR,4,If in Paphos well worth a visit.,5,11/08/2022,Great food and excellent service. Pizzas are really good. Portions are large. One of my daughters only had the potato skins starter as her main and she didn’t finish it. We went early when the restaurant was quiet but plenty of friendly staff on hand.,POSITIVE,0.9996509552001953
41,41,markww86,15,Disappointed,1,11/08/2022,"Confused by the good reviews on here. We were really disappointed with all our food. The focus seems to be on quantity rather than quality. Massive portions of really poor quality tasteless food.  The only thing worse than the food was the service. We waited a good 15 minutes at the entrance waiting to be seated (at a booked table), then waited another 30 minutes on someone taking our food order, then waited and waited for our food to be served.  Much better food and service nearby, we won’t be back.",NEGATIVE,0.999765932559967
42,42,smellyruby2014,23,Cabaret eating......,4,09/08/2022,"Food is of good standard, no issues with that. Portions were massive!  If you want a quiet meal you really need to avoid though as its full on here. Every 20 mins or so, ladies come out and sing and dance to a theme. They are actually quite talented to be fair.  Its a noisy, extremely busy restaurant, which at times seems chaotic but its a great meal out for families especially with young children. Overall worth a visit!",POSITIVE,0.9993818998336792
43,43,532shanib,2,WOW,5,04/08/2022,"Amazing show, great food and flawless service!!!! Great job you guys !!!! Definitely recommend it to everybody that comes to Paphos",POSITIVE,0.9998844861984253
44,44,rastas72,7,The best,5,02/08/2022,"This place has to be the best restaurant in Cyprus , the atmosphere was amazing , the food was amazing, the service staff work so hard..the cabaret girls are awesome.. whoever visits paphos needs to experience this restaurant, you won't find anywhere better ..thank you for...",POSITIVE,0.9997346997261047
45,45,amandarmurray,9,Amazing,5,30/07/2022,Great food as always. My daughter loved the girls dancing she now wants to work at fat mama’s! We celebrated our 5th wedding anniversary here and they brought out a glass of Prosecco for us which was a lovely surprise. My son enjoyed the entertainment especially the singing. Was a great night. Definitely recommend!,POSITIVE,0.9998800754547119
46,46,C4451POstephaniep,2,Excellent,5,30/07/2022,"We has a perfect evening! The food was absolutely delicious, the service is 5 stars and the show with the three girls was top notch! We will definitely visit soon!! Keep up the excellent job!",POSITIVE,0.999883770942688
47,47,KaraW467,4,What a place,5,27/07/2022,"This restaurants never disappoints. We came here first approx 17yrs ago. On our trip to Paphos this time it was the first stop on our list. The cheesy garlic bread is fantastic and was still as good as it was the first time we came. Burgers are massive and ribs and pizza are all firm favourites. Portion sizes are big esp for starter. It is more than a restuurant experience, there is dancer's and singing approx every 15/20mins and even Stavros Flatley paid a visit whilst were there. Definately worth a visit for anyone that is looking great atmosphere, good food and a relaxed environment.",POSITIVE,0.9997262358665466
48,48,P5694PBrichardm,5,Biggest portions I have ever seen,5,25/07/2022,From food to service to entertainment it was a night to remember.  Where to start the food portions are the biggest you will ever see  .  Started with nachos and it would have served 3    Main course was fajitas and I 4 tortias. When I was finished you would have thought I had not started as there was that much food left.  Waiters were great always happy to help.  The entertainment was great the girls sang and danced there heart out. Made for an amazing family meal,POSITIVE,0.9996107220649719
49,49,nicoleKC6627MJ,3,So much food! What a place!!,5,24/07/2022,"We visited fat mammas for an evenings food and entertainment, and it did not disappoint. From the amazing front of house staff, a bubbly and talented lady from Essex uk, to the superbly efficient table staff and the entertainers, fat mammas delivered an evening that stood out during our holiday. The starter was the size of a main meal… honestly, the bruschetta was basically a whole loaf of bread (!!) and the truly delicious pasta was to die for. we did not leave hungry and could not manage a dessert, despite the desserts looking delicious!  We were entertained by the dancers and weather was perfect to add to the holiday vibe.  We would definitely recommend!!  Thanks for a fabulous evening xx",POSITIVE,0.9996461868286133
50,50,rachelbT8383SX,3,Brilliant,5,21/07/2022,Food great service great entertainment great price great what more do you want! You will find this easily enough as it's the packed every night,POSITIVE,0.9998272061347961
51,51,caitrionaf2017,10,Just fine,3,17/07/2022,"Very suited to families and celebrations. A big menu of burgers, steak, pizza etc. We didn't book but got a table easily enough. Nice staff but nobody really checks on you once you've ordered. My husband had ribs, the small portion which were massive, and I had prawns in wine and garlic. It came with rice, a baked potato and a salad. The portions are just too big but the food itself is good. Also had a milkshake which was just milk and strawberry syrup so a little disappointing. Had to ask for the bill a few times and in the end just left cash as nobody came with the card machine. The night we went there was a trio dancing to various songs.",NEGATIVE,0.994737446308136
52,52,josephbQ7045BN,2,Fun but not autistic friendly,3,10/07/2022,"The food was nice and it had a nice atmosphere however as an autistic person it was a nightmare, loud music and constant shouting and we had to wait an extra hour to get the bill, as previously stated it was enjoyable but definitely not autism friendly",NEGATIVE,0.9871340394020081
53,53,Killer-Darts-Champ,8,Don’t bother booking!,1,03/07/2022,"Booked a table for 8pm, arrived at 8pm and asked the people in the queue if they had made a reservation and they had not. Went to the guy at the desk and advised we had booked in for 8pm and gave him my name, he said “oh, I know about your booking but I forgot to add your name to the list. You’ll need to wait like everyone else now” This was behind approx 14 people. When I asked what was the point on us booking, he said the booking only keeps the table free??? He didn’t know his left hand from his right!! Eventually sat down and ordered drinks, but after waiting a further 20 mins, we still didn’t have our drinks so we told the waitress to cancel the order and left.  Loads of nice bars on that strip that will serve you straight away and be grateful of your custom. Give them a try!",NEGATIVE,0.9923957586288452
54,54,ROGER B,47,Fun Venue for good meal,5,29/06/2022,We had an evening meal and the staff were great with dancing girls every few minutes . There was a good choice of food and great for families with the entertainment. 10% off for early eating by 7pm with good value drinks offers as well.,POSITIVE,0.999489426612854
55,55,SurreyMerc,34,Alright if you like that sort of thing.,3,25/06/2022,After listening to people at our hotel saying about this place we thought we would give it a go. Arrived at about 6.30 pm & got a table. If you go later than about 7 you will struggle to get a table. Also before 7pm it's 15 % early bird discount so we were told. All I can say is its overated & nothing special. It seems that families & younger people like this place but not us. More emphasis should be placed on the quality of the food & not the entertainment that appears about every 20 minutes or so. There is a good choice of food but it's just like being back in England at a Harvester or Smith & Westerns. Overpriced for what you get.,NEGATIVE,0.9964779019355774
56,56,Clare Louise N,15,5 STAR  treatment! ❤️ AMAZING PLACE AND FOOD,5,18/06/2022,"I Don’t really know where to start, this place is Absolutely amazing! The staff went above and beyond for us from start to finish………My husband and I arrived literally just after he was bitten/stung by an insect. He has anaphylactic shocks to Bee and wasps stings. He had already started with the symptoms of swelling and redness, the owner/manager went out of her way to get things to help him. Even offered to get a family member who is a nurse on standby in case it turned nasty. Luckily it calmed down, constant checks, with care and compassion including offers of assistance and natural remedies to help. Even sent us away with supplies. We Can not thank her enough for her care and compassion. What was a scary and very anxious situation for us was made much easier to cope with.  The food was amazing!! Massive portions but absolutely beautiful felt bad we couldn’t finish our meals but again offers of take away boxes.  The shows were fantastic.  So much effort goes into making this place as fabulous as it is.  Thank you ❤️",POSITIVE,0.9988974332809448
57,57,James C,9,Great entertainment all night,4,13/06/2022,"Went to fat mamas for the first time yesterday. The staff were very friendly.For starters we got garlic bread with cheese, potato skins and bruschetta. Then for mains we ordered two pizzas and a hunters chicken. The sizes very big and we had to take home 1/2 of a pizza. The dancers were very entertaining especially the final show. In the front garden o the night we were there there was face painting nails and henna tattoos being done.Would recommend",POSITIVE,0.9981383085250854
58,58,CarterUSM62,63,Just a great night out,5,12/06/2022,"We visited recently with my wife's brother and his family. The food is fabulous (ribs, enchiladas, etc)., and arrives in very generous quantities. It does help if you're a carnivore, although they do have veggie options. Someone in my party let slip that it had recently been my birthday, so I had a not unpleasant surprise during the evening! It's a fantastic place to visit, especially if you have children who appreciate their meat. The dancers put on a great show and work really hard for their money. We will definitely return. Highly recommended.",POSITIVE,0.9998154044151306
59,59,R3960BLmandyb,3,Family meal,5,31/05/2022,"Decided to head to Fat Mamma's for a meal one evening, rather than staying at the hotel.    We weren't disappointed. Staff were very friendly and polite. Food was good, although we only had starters as we weren't that hungry and cocktails very lovely. My sister ate here a couple of nights beforehand and the mina meal portions are huge!    We had a shout out as we got married on the island and were given a complimentary drink.    The entertainment was great (3 resident girls dancing).    Defo worth a visit!",POSITIVE,0.9998264908790588
60,60,Jennifer B,16,Absolutely amazing,5,26/05/2022,"If your in Paphos, you have to visit Fat Mammas. Omg the food is absolutely incredible but you also get to watch a show while you eat. It's a family run business and so friendly, efficient and memorable. Portions are huge. Variety of food incredible. If you go early into your holiday I can guarantee you will go back again. Can't wait for our next holiday to go back .",POSITIVE,0.9998408555984497
61,61,harmoniousjade,17,Great for kids!,5,18/05/2022,"We had such a great time here as a group of 15+ and 6 young kids with us. The kids got glitter tattoos, the food was great for them and the atmosphere and entertainment was amazing! Our food and drinks were very good too! I’d like to specially say that our waitress with the brown hair was very friendly and very good with the children! She made the experience very lovely. Thank you!",POSITIVE,0.9998815059661865
62,62,Greg1234577,1,Amazing,5,13/05/2022,What a brilliant night second visit this holiday and both times the food was amazing the staff outstanding position size Incredible (and I an no stranger to a big dinner) the dancers are fabulous and would not be out of place on a cruise ship I don't know her name but when the waitress turned up in a sparkling dress and sung like an angle I was super Impressed and to top it all off syavros flaty did a turn thank you all the staff I clouding cooks and the amazing beautiful waitress you made our holiday x,POSITIVE,0.9998134970664978
63,63,bron_cara,4,Hidden gem,5,10/05/2022,"Visited this place when walking down the street and Noticed the pretty aesthetic and cool atmosphere. The food was so good, and the frozen cocktails made it for me! Will definitely return. 10/10!",POSITIVE,0.999864935874939
64,64,ellierj10,3,Amazing!,5,03/05/2022,"Amazing food, drinks and service!😍 We’ll most definitely be back! Thank you for a lovely evening!xx",POSITIVE,0.9998805522918701
65,65,Nick W,12,Holiday evening meal,5,02/05/2022,"Thought Fat Mamas was so good that we tried it for a 2nd time just to make sure.  Firstly the staff are very engaging and friendly. Very jolly from the the man on the door the waiters/waitresses and the cooks.  The food is all cooked fresh and they are happy to give you time between courses, even asking when you will be ready for mains/deserts.  We have had the mushrooms and the brusetta for starts and the burger and ribs for mains. Partner had the mushrooms and the lasagne and previously the enchiladas.  I would have to say that this place is not called Fat Mamas for nothing. We have not managed to finish any of the dishes served. I believe that ""Man V Food"" would struggle. So always large portions.  They have some dancers for entertainment and some music, all of which is great fun and makes the evening more enjoyable.  We would definitely visit again and would highly recommend.",POSITIVE,0.9997820258140564
66,66,Escape556267,1,Denise Perry,5,02/05/2022,"What a great place. The staff could not do enough for us. The food is great but the portions are very big, would recommend sharing starter’s. Will definitely be back and will be telling all my friends where to come when staying in Paphos.",POSITIVE,0.9995328187942505
67,67,722kayleed,1,Mrs Kaylee Davis,5,02/05/2022,"Been here twice this week, both times were excellent!! Portions are large so definitely share a starter! The staff are amazing, helpful and very attentive!! The entertainment was great!! Nothing is too much trouble for them. We’re coming back tomorrow on our last night as it is so good!!!",POSITIVE,0.9998830556869507
68,68,Littleppyjack,5,Great for the grandchildren,5,21/04/2022,Family of eight visited and had a great time. Food was excellent and good entertainment. Really good value for money.,POSITIVE,0.9998841285705566
69,69,Mark V,185,Enjoyable Evening,4,21/04/2022,We had not planned to eat here but decided to on passing as the place was full. The menu had a good range of options and we enjoyed the evening.  Points for improvement - better seasoning of burgers and we consider drinks here are over-priced compared to neighbouring restaurants and eateries. Three Little Pigs is better on food and value.,NEGATIVE,0.9527023434638977
70,70,patriciaz773,14,Wouldn’t recommend,2,19/02/2022,"I visited with 2 friends in September 2021. The restaurant was quiet. The service felt quite chaotic. It took a long time for our orders to be taken and a long time for the food and drink to come out. It was really difficult to get the attention of the staff members and when I politely said I had been waiting 30 mins for a mojito that still had not arrived. I was told it was taking a long time because they had to crush the ice ( like it was my fault for ordering a complicated drink lol) the food was not very tasty. I had the fajitas, it was all quite bland and expensive for what it was.",NEGATIVE,0.9997586607933044
71,71,nadinekitchen,22,Halloween fun,5,07/11/2021,It’s been a few years since we visited fat mamas and the food and atmosphere did not disappoint. Fantastic Cabernet as always but extra special with it being Halloween. Compliments to the chef!,POSITIVE,0.9995490908622742
72,72,819vilmaa,2,Fat mama’s review,5,03/11/2021,It is a good restaurant very good service and a lot of food choices great to visit with family friends or you can go alone very very good food,POSITIVE,0.9998573064804077
73,73,pheobem415,1,Holiday visit,5,01/11/2021,Best place iv been to in Paphos staff are amazing made us feel very welcome would definitely recommend to Anybody beautiful people and amazing atmosphere !!!,POSITIVE,0.999855637550354
74,74,Giselle B,73,Always a treat,4,31/10/2021,"Had a lovely meal as always great service and entertainment too, always try and visit once each holiday",POSITIVE,0.9998089671134949
75,75,E3618TNmatthewm,1,Incredible!!,5,28/10/2021,Came here as a last minute walk in and the staff were excellent from the get go. Super attentive to the kids which continued throughout the meal. The food was excellent there was a show throughout which the kids loved. One of the best surprises of the holiday. We'll done guys and thank you for an excellent evening.,POSITIVE,0.9998799562454224
76,76,Katie P,39,Great place to visit,5,27/10/2021,Busy family run restaurant. Had to wait for a table but not for too long. Plenty of food. Attentive staff. Dancers very entertaining. Would definitely go back.,POSITIVE,0.9992883801460266
77,77,LordC,34,Don’t waste your time unless you like terrible customer service,1,27/10/2021,Booked a table and arrived to be told to wait in the queue with our two young children.. We waited and waited whilst they occasionally let people with no booking take tables ahead of us. People pushing in in front of us in the queue. Dancing girls looked like they had spent too much time in lockdown eating. Terrible experience and almost half hour completely wasted. Left and had an amazing Italian just up the road at Martelli’s.,NEGATIVE,0.9994786381721497
78,78,1973Dannyd,23,Great food,5,25/10/2021,"Highly recommend fat mamas food great and loads of it, great friendly staff and good entertainment don’t miss this restaurant",POSITIVE,0.9998394250869751
79,79,TheMarritts,135,WOW! What a great place and AMAZING value,5,23/10/2021,"Happened to drop in here on what was a quiet night for us. Ended up having a great time with live dancers and cabaret. We thought this was the highlight until we received the food which we are still raving about and wow talk about portion sizes,, FANTASTIC great work all at Fat Mamas you made our evening.",POSITIVE,0.9997313618659973
80,80,189sarahe,39,Family visit,5,22/10/2021,"Booked a table for 6, seated quickly even with showing Covid safe passes, lovely service from very polite people, food plentiful and piping hot. Thoroughly enjoyed the evening, would recommend",POSITIVE,0.9996196031570435
81,81,karenbF6441SB,1,Excellent,5,21/10/2021,Visited Fat Mamas for the first time tonight. The food was excellent and the service from Andy & Samson was great. Thanks for a wonderful evening,POSITIVE,0.9998811483383179
82,82,trifrzv,4,The best food I’ve ever tried,5,20/10/2021,"They have the best food I’ve ever eaten in my whole life, and Im not exagerating. Absolutely amazing food (you should try the meat platter or the nachos). The staff is also very friendly and they have cabaret shows almost every night.",POSITIVE,0.9998445510864258
83,83,YorkCal,26,Excellent,5,19/10/2021,"The food was great, we had mussels and garlic bread as a starter and king prawns and sea bass for main course. The house wine was very nice and even though we were the last to leave they didn’t push us out. The staff Andy, Samson and his brother (sorry forgot your name! ) we’re all very friendly, great service and overall a lovely friendly atmosphere. Unfortunately the entertainment was just finishing as we got there at about 9pm.",POSITIVE,0.9894840121269226
